Page,Section,Description,Filename,Uploader,Date
161,POP Pre 50's - 60's (Words Pre 50's),Bubbles In The Wine WelkE,/bubbls/wine.sal,ErnestT1,03/31/90
161,POP Pre 50's - 60's (Words Pre 50's),Bugle Call Rag,buglecallrage.sal,ErnestT1,06/26/89
161,POP Pre 50's - 60's (Words Pre 50's),But Beautiful Bing C,/butbeautifl.sal,ErnestT1,03/31/90
161,POP Pre 50's - 60's (Words Pre 50's),By Strauss E *,/by.strauss.sal,LeeD7,11/05/89
161,POP Pre 50's - 60's (Words Pre 50's),California Here I Come,california.sal,LeeD7,01/13/89
161,POP Pre 50's - 60's (Words Pre 50's),Caminito - Filiberto E*,/caminito.sal,ErnestT1,07/09/89
161,POP Pre 50's - 60's (Words Pre 50's),Carolina In The Morning,carolina.sal,QuakerOtis,12/18/88
161,POP Pre 50's - 60's (Words Pre 50's),Carolina in the Morning,carolina.sal,LeeD7,08/05/90
161,POP Pre 50's - 60's (Words Pre 50's),Champane Waltz *,champane/wlz.sal,ErnestT1,04/21/90
161,POP Pre 50's - 60's (Words Pre 50's),Ciribiribin HarryJames,ciribiribin.sal,ErnestT1,05/05/90
161,POP Pre 50's - 60's (Words Pre 50's),Close To You *,close to you.sal,ErnestT1,05/18/90
161,POP Pre 50's - 60's (Words Pre 50's),Come Home Father,comehomedad.sal,EdC14,08/26/89
161,POP Pre 50's - 60's (Words Pre 50's),Cuanto Le Gusta *,cuanto/gusta.sal,ErnestT1,06/12/89
161,POP Pre 50's - 60's (Words Pre 50's),Daisey Belle,daisey belle.sal,TRC RAT,08/23/89
161,POP Pre 50's - 60's (Words Pre 50's),Deep Purple,/deep purple.sal,ErnestT1,05/22/90
161,POP Pre 50's - 60's (Words Pre 50's),Don't Bring Lulu E,/bring lulu.sal,RaiderMC,06/21/89
161,POP Pre 50's - 60's (Words Pre 50's),Enamorado De Ti E,/enamorado t.sal,ErnestT1,06/29/89
161,POP Pre 50's - 60's (Words Pre 50's),Enjoy Yourself *,enjoy yrself.sal,ErnestT1,04/10/90
161,POP Pre 50's - 60's (Words Pre 50's),Flow Gently Sweet Afton,/sweet afton.sal,QuakerOtis,09/05/89
161,POP Pre 50's - 60's (Words Pre 50's),Flyin' Home *,flyin home.sal,GlenD5,10/04/89
161,POP Pre 50's - 60's (Words Pre 50's),Frenesi,frenesi.sal,ErnestT1,06/12/89
161,POP Pre 50's - 60's (Words Pre 50's),Goofus *,goofus.sal,ErnestT1,07/08/89
161,POP Pre 50's - 60's (Words Pre 50's),Green Eyes E,green eyes.sal,ErnestT1,05/11/89
161,POP Pre 50's - 60's (Words Pre 50's),Havana Moon,havana moon.sal,ErnestT1,05/07/89
161,POP Pre 50's - 60's (Words Pre 50's),He'd Have To Get Under *,get under.sal,Tx general,04/14/90
161,POP Pre 50's - 60's (Words Pre 50's),Hot Time/Old Town,hottime/town.sal,Collecting,01/31/87
161,POP Pre 50's - 60's (Words Pre 50's),How High The Moon? *,how hi/moon.sal,ErnestT1,03/31/90
